content,score,sentiment
É muito bom ter coisas baratas algumas não são tão baratas nunca comprei nela só vejo várias coisas boas mas irei comprar não sei se vale a pena aliás por causa que é muito barato tem coisas que é barato que não presta mas tem coisa que é barata e presta,5,4
"tive medo de comprar, mais quando comprei pela primeira vez, fiquei super satisfeita. é confiável e veio tudo certo conforme foi a minha compra , estou comprando somente por aqui , amei , sem nenhum medo de comprar novamente , o app super fácil de usar. estou muito satisfeito com as minhas compras, estão de parabéns.",5,4
"Nunca tive problemas com Shein, meu único problema foi com minha última compra pela transportadora Anjun express, sim Fui roubado, reclamei e reclamei e nada, compra que fiz desde setembro e hoje dia 11 de novembro e nada, Segundo eles, há um problema logístico, tenho tanto medo de continuar comprando, não sei. Boa sorte pra vocês, já eu nem sei",1,0
"fiz um pedido hj, e ele pede: finalizar pagamento. não dá a opinião de parcelar. em outras ocasiões me deram. mas essa é a segunda vez que acontece isso. estou procurando o pedido no meu perfil pra pedir pra mudar a forma de pagamento e não acho.",4,3
"gosto das roupas, as vezes fotos mais intensas as cores, diferentes dos produtos. as bijuterias o acabamento deixa a desejar. brinquedos excelentes A entrega poderia ser em tempo menor",3,2
"O aplicativo, a experiência de compra e o atendimento são perfeitos, mas peço aos desenvolvedores do ""Amazon Shopping"" que corrijam as travadas mas mídias das avaliações, ele está muito mal otimizado.",4,3
o aplicativo é muito bom só deixa a desejar no valor mínimo de compra e com os impostos o valor fica muito alto os outros aplicativo dão condições melhores e entrega mais rapida,3,2
"APP veio pra competir de igual pra igual , com outros vendedores chineses, gostei, primeira compra vc fica desconfiado mas já fiz várias e todas chegaram antes do prazo. e o preço é bom, mas existe um limite mínimo pra fazer as compras.",5,4
"Sempre compro na Shein, produtos e preços bons, mas já tem mais de um mês que não consigo acessar os cupons, ajudam muito na compra, na primeira vez eu desinstalei o app e instalei novamente e funcionou, mas depois não funcionou mais. Eles aparecem pra eu salvar, mas quando acesso não estão lá. Então infelizmente será difícil comprar novamente!",2,1
"Busca ineficiente As compras na Amazon são excelentes. A entrega é rápida. Os problemas que vejo são a propaganda enganosa do frete grátis do prime, já que elevam os preços e falam que o frete é grátis, e a busca que é muito ruim. Por exemplo, se eu mando buscar ""tablet Samsung"" é porque eu quero ver os tablets da Samsung e não da Multilaser. Se eu buscar por eletrônico não quero ver roupas no meio dos resultados. Enfiam produtos não relacionados nos resultados.",1,0
"Tenho feito praticamente uma compra por dia. O que tem de positivo é o frete grátis para compras de baixo valor, porém isso também é o ponto negativo, pois você não pode fazer uma compra com mais de 5 itens de lojas diferentes que é comprado frete, eles deixam 3 itens sem frete e o restante cobrasse o frete. As entregas estão muito boas para as compras nacionais. Por enquanto eu só fiz uma compra internacional e ainda não recebi a mercadoria por isso não posso opinar nessa questão.",5,4
"Mais uma vez, não consigo comprar com o cartão de crédito. Tentei excluir a conta e sempre dá erro. Minha conta é verificada e utilizo cartão próprio! Amo a Shopee, mas não tem como eu comprar smp por pix e não vou usar os meios de pagamento do app. Uma pena!!!!",1,0
"As promoções são boas, mas o design do app tem muita informação, isso pode confundir um pouco o consumidor. É preciso tornar o app mais prático.",3,2
"Nunca tive problema com compras pelo Mercado Livre, chegando até mesmo antes do prazo. Acho um excelente site/app para compras, o valor dos produtos não é sempre o site mais em conta, mas vale a pena pela agilidade na entrega. Parabéns pela dedicação. Um ponto negativo é não poder postar fotos ou vídeos nas avaliações dos produtos, o que na minha opinião deixaria nós clientes ainda mais seguros na hora de efetivar uma compra. É um ponto a ser melhorado.",4,3
"Sendo um assinante Prime, considero que é um ótimo aplicativo para compras. Principalmente para quem estiver procurando produtos na faixa de 15 a 100 reias. A relação preço e prazo de entrega, certamente compensa para quem é assinante, o frete sairá grátis e o preço no mesmo preço ou menor do que as lojas físicas, com a diferença de que você não precisará se locomover e a entrega será feita em alguns casos, antes da data prevista. É apenas uma das vantagens de ser assinante Prime.",5,4
"O app em si é ótimo muitas promoções, quase tudo perfeito. O problema é com as entregas. Diz que saiu para entrega e tem até as 20:00 horas pra entregar, passa o horário, não entregam e aumentam o prazo mais 1 semana sem a pessoa poder cancelar. IStO quando os entregadores não dizem que o endereço está incompleto sendo que fazem pelo menos umas 10 entregas por mês em minha casa.",2,1
"O aplicativo em si pra compras é maravilhoso isso todo mundo já sabe, mas no meu celular o app vive travando em relação a rolagem de tela, elee joga pra baixo quando eu estou navegando entre os produtos, já tentei de tudo, atualizei, exclui e instalei de novo e ainda continua igual.",3,2
O aplicativo e a entrega e ótimo só falta tê limite de crédito igual a shoppe mercado livre e outras pra comprar parcelado,4,3
"Péssimo. Te mandam jogar um jogo onde você supostamente ganha coisas grátis e as ofertas são atraentes, pra chegar em 90% é rápido, porém a partir daí o jogo se torna cada vez mais difícil, os baús diminuem a água a cada baú que você abre, as plantas não rendem mais, parece que o jogo não quer que você ganhe os itens, pura enganação, não baixem!",1,0
