content,score
"Super decepcionado!! Baixei o aplicativo e realizei algumas compras no meu cartão de crédito e na opção pix. Já vem alguns dias que tento realizar uma compra no cartão de crédito e não apresenta a opção cartão, entrei em contato com o chat e fui informado que essa forma de pagamento tinha sido banido por que a Shopee identificou irregularidades na minha compra. O chat não me deu explicação nenhuma de que irregularidade seria, nem me deu uma solução e encerrou o atendimento antes que questiona-se",1
"o aplicativo é razoável. Preste muita atenção no que você está comprando, você pode estar achando vantagem comprar um conjunto de coisas e receber apenas o menir produto dos itens anunciados. O jogos só o incentivará no inicio até tornar um vício. Depois haja paciência. Já desisti de um deles. A vantagem é que comprando mais de 192,00 reais, vc não paga ICMS e alfândega inclusa. E os produtos chegam no prazo estabelecido.",5
"O app é bom. As promoções e os preços são ótimos. Um ponto negativo é a demora para chegada das encomendas. Pedi uma calça já vai fazer um mês e até hoje não chegou e olha q foi de envio nacional, imagina se fosse internacional. Demora muito. Já pensei em pedir reembolso, mas vou aguardar mais um pouco",4
"A Farmland e o negócio mais ridículo e injusto que já vi num aplicativo, é igual um cassino onde a casa sempre vence. No começo é as mil maravilhas, você consegue ""dólares"" fácil com as plantações mas chega no final... Precisei de 1500 ""águas"" pra conseguir 0,3 centavos, as regras mudam e dificultam o máximo pra você convidar amigos, fazer compras na loja... É uma mecânica extremamente abusiva, só baixei o app pois um produto que queria estava mais barato que na Aliexpress , mas não vale a pena",1
"Foi frustração logo na primeira compra. Comprei dia 12 de janeiro e a promessa de entrega era de 3 a 5 dias úteis por ser a primeira compra, bem já se passaram 16 dias e nem satisfação do meu pedido.",1
"Ótimo app, tem vantagens em relação aos preços dos produtos, bem como, opção de frete grátis com o valor mínimo de compra em 19 reais. Então é um app para comprar no conforto de casa (alguns vendedores são mais atenciosos no chat do que outros para esclarecer eventuais dúvidas) e também receber em casa sem custos (o acompanhamento das etapas do pedido pode ser realizado no app e é bastante intuitivo e preciso). Melhorias: seria bom se houvesse a opção de receber vários pacotes em um mesmo dia.",4
"O app em si é ótimo para compras mas a logística deixa muito a desejar, quando nossa encomenda não é danificada ela simplesmente é extraviada, nem reclamo muito do tempo de entrega para cidades do interior, até entendo, mas a encomenda chegar detonada ou nem chegar é o cúmulo.",3
O aplicativo é muito bom. Tem várias opções de compra e normalmente os itens são entregues dentro do prazo e com bastante qualidade. A única vestir problema foi quando comprei uma caneta 3D que era de bem baixa qualidade. Mas os demais itens que comprei todos foram entregues em tempo bom.,4
"Opinião sincera. O aplicativo em si tem uns produtos muito bons, e bastante bonitos! Principalmente na moda gringa. Porém. O tão famoso jogo que promete itens grátis, estou a um mês e não saiu do 99,9%.. e cada dia que passa fica mais difícil de continuar, na minha visão seria, para que colocar itens grátis ""presentes"" se não iriam dar? Isso é propaganda enganosa, e é crime! Péssimo aplicativo, se gostam de coisas estrangeiras utilizem a shein👍🏻 mesmo que tenha fretes.",1
A shopee era bom de comprar de ums dois meses pra cá a gente coloca um valor com o cumpum de desconto na hora de finalizar a compra agente acha que é a quelé valor na hora de paga dobra o valor vai lá encima tinha que continuar como antes os valor um exemplo se a compra da 242 na hora de fechar pra pagar vai pra 300 e pouco recepção total os produtos tão saindo muito mais caro não tem cupom de desconto mais e não tá compensando comprar mais na shopee eu já comprei várias vezes e amava comprar,1
"Preços bons, entregas rápidas, maior variedades de produtos, não tem muito o que dizer, 5 estrelas apenas.",5
"O app é bom, já fiz várias compras. Mas como podem colocar uma prova daquela de coletar cartões?? Eu sempre uso todas as maneiras de conseguir mais chances pra tentar de novo mas toda vez vem letra REPETIDA ou o cartão tá VAZIO!! Incrivelmente todo mundo tem todas as letras menos o S, todo mundo falta a letra S!!!!",3
