content,score
É muito bom ter coisas baratas algumas não são tão baratas nunca comprei nela só vejo várias coisas boas mas irei comprar não sei se vale a pena aliás por causa que é muito barato tem coisas que é barato que não presta mas tem coisa que é barata e presta,5
"tive medo de comprar, mais quando comprei pela primeira vez, fiquei super satisfeita. é confiável e veio tudo certo conforme foi a minha compra , estou comprando somente por aqui , amei , sem nenhum medo de comprar novamente , o app super fácil de usar. estou muito satisfeito com as minhas compras, estão de parabéns.",5
"Nunca tive problemas com Shein, meu único problema foi com minha última compra pela transportadora Anjun express, sim Fui roubado, reclamei e reclamei e nada, compra que fiz desde setembro e hoje dia 11 de novembro e nada, Segundo eles, há um problema logístico, tenho tanto medo de continuar comprando, não sei. Boa sorte pra vocês, já eu nem sei",1
"fiz um pedido hj, e ele pede: finalizar pagamento. não dá a opinião de parcelar. em outras ocasiões me deram. mas essa é a segunda vez que acontece isso. estou procurando o pedido no meu perfil pra pedir pra mudar a forma de pagamento e não acho.",4
"gosto das roupas, as vezes fotos mais intensas as cores, diferentes dos produtos. as bijuterias o acabamento deixa a desejar. brinquedos excelentes A entrega poderia ser em tempo menor",3
"O aplicativo, a experiência de compra e o atendimento são perfeitos, mas peço aos desenvolvedores do ""Amazon Shopping"" que corrijam as travadas mas mídias das avaliações, ele está muito mal otimizado.",4
o aplicativo é muito bom só deixa a desejar no valor mínimo de compra e com os impostos o valor fica muito alto os outros aplicativo dão condições melhores e entrega mais rapida,3
"APP veio pra competir de igual pra igual , com outros vendedores chineses, gostei, primeira compra vc fica desconfiado mas já fiz várias e todas chegaram antes do prazo. e o preço é bom, mas existe um limite mínimo pra fazer as compras.",5
"Sempre compro na Shein, produtos e preços bons, mas já tem mais de um mês que não consigo acessar os cupons, ajudam muito na compra, na primeira vez eu desinstalei o app e instalei novamente e funcionou, mas depois não funcionou mais. Eles aparecem pra eu salvar, mas quando acesso não estão lá. Então infelizmente será difícil comprar novamente!",2
"Busca ineficiente As compras na Amazon são excelentes. A entrega é rápida. Os problemas que vejo são a propaganda enganosa do frete grátis do prime, já que elevam os preços e falam que o frete é grátis, e a busca que é muito ruim. Por exemplo, se eu mando buscar ""tablet Samsung"" é porque eu quero ver os tablets da Samsung e não da Multilaser. Se eu buscar por eletrônico não quero ver roupas no meio dos resultados. Enfiam produtos não relacionados nos resultados.",1
"Tenho feito praticamente uma compra por dia. O que tem de positivo é o frete grátis para compras de baixo valor, porém isso também é o ponto negativo, pois você não pode fazer uma compra com mais de 5 itens de lojas diferentes que é comprado frete, eles deixam 3 itens sem frete e o restante cobrasse o frete. As entregas estão muito boas para as compras nacionais. Por enquanto eu só fiz uma compra internacional e ainda não recebi a mercadoria por isso não posso opinar nessa questão.",5
"Mais uma vez, não consigo comprar com o cartão de crédito. Tentei excluir a conta e sempre dá erro. Minha conta é verificada e utilizo cartão próprio! Amo a Shopee, mas não tem como eu comprar smp por pix e não vou usar os meios de pagamento do app. Uma pena!!!!",1
"As promoções são boas, mas o design do app tem muita informação, isso pode confundir um pouco o consumidor. É preciso tornar o app mais prático.",3
"Nunca tive problema com compras pelo Mercado Livre, chegando até mesmo antes do prazo. Acho um excelente site/app para compras, o valor dos produtos não é sempre o site mais em conta, mas vale a pena pela agilidade na entrega. Parabéns pela dedicação. Um ponto negativo é não poder postar fotos ou vídeos nas avaliações dos produtos, o que na minha opinião deixaria nós clientes ainda mais seguros na hora de efetivar uma compra. É um ponto a ser melhorado.",4
"Sendo um assinante Prime, considero que é um ótimo aplicativo para compras. Principalmente para quem estiver procurando produtos na faixa de 15 a 100 reias. A relação preço e prazo de entrega, certamente compensa para quem é assinante, o frete sairá grátis e o preço no mesmo preço ou menor do que as lojas físicas, com a diferença de que você não precisará se locomover e a entrega será feita em alguns casos, antes da data prevista. É apenas uma das vantagens de ser assinante Prime.",5
"O app em si é ótimo muitas promoções, quase tudo perfeito. O problema é com as entregas. Diz que saiu para entrega e tem até as 20:00 horas pra entregar, passa o horário, não entregam e aumentam o prazo mais 1 semana sem a pessoa poder cancelar. IStO quando os entregadores não dizem que o endereço está incompleto sendo que fazem pelo menos umas 10 entregas por mês em minha casa.",2
"O aplicativo em si pra compras é maravilhoso isso todo mundo já sabe, mas no meu celular o app vive travando em relação a rolagem de tela, elee joga pra baixo quando eu estou navegando entre os produtos, já tentei de tudo, atualizei, exclui e instalei de novo e ainda continua igual.",3
O aplicativo e a entrega e ótimo só falta tê limite de crédito igual a shoppe mercado livre e outras pra comprar parcelado,4
"Péssimo. Te mandam jogar um jogo onde você supostamente ganha coisas grátis e as ofertas são atraentes, pra chegar em 90% é rápido, porém a partir daí o jogo se torna cada vez mais difícil, os baús diminuem a água a cada baú que você abre, as plantas não rendem mais, parece que o jogo não quer que você ganhe os itens, pura enganação, não baixem!",1
"Não existe cupom de frete grátis integral . Não dá para apagar todas as notificações de uma só vez. Muitos produtos falsos vendidos como original ,principalmente ténis, busca com resultados irrelevantes.",4
"O app é prático e funciona muito bem. Entretanto, os problemas com os produtos vendidos pelos vendedores são recorrentes. O Mercado Livre tem optado por reter os valores por bastante tempo, até que o produto chegue ao vendedor e seja realizada a conferência. Cumpre ressaltar que o envio de devolucão é bastante demorado, estimado, desta vez, em até um mês. Tudo isso inviabiliza uma nova compra com um vendedor responsável, além de causar demasiado senso de insegurança.",3
"O aplicativo é bom, pra quem sabe comprar vem tudo certinho, porém essa semana o app tá muito lento, não tá carregando nada, a interface poderia ser mais rápida!",2
"Esse aplicativo é ótimo para compras on-line só que gostaria de dar um sugestão para segurança do app, coloquem a opção de segurança de duas etapas um app de compra que armazena nossos dados e o número do cartão precisa dessa ferramenta de segurança ex souberam dessa minha senha on-line se não troco a tempo já era...",2
"Comprei um jogo de banheiro e acabei vendo na casa de uma pessoa e não gostei. Abri a embalagem original apenas para virar do outro lado para poder fazer a devolução. E o fiz. Até me dizerem que foi recusada pq o produto foi usado! Como, se as 3 peças vieram embaladas em plástico e eu nem desembalei! Se por acaso tiver algum defeito ou uso, me mandaram assim. Não tenho mais coragem de comprar nada no Mercado Livre depois de algo assim. Já vi que não tenho garantia nenhuma. Me sinto muito lesada",1
"Uso esse aplicativo a anos, minhas compras sempre chegaram certinhas, tem uma variedade gigante de lojas diferentes, ótimo ponto positivo. Porém o que tem atrapalhado é a lentidão do app, as vezes as fotos demoram demais pra carregar, até pra colocar na lista de favoritos há lentidão, se isso fosse melhorado, com certeza a experiência iria subir um pouco mais, apesar disso eu recomendo o aplicativo pq realmente tem uma gama de produtos e lojas bastante variada e as encomendas chegam certinhas.",5
"Informações bagunçadas , fiz o cancelamento de um item do meu pedido e ficou impossível verificar o status da devolução pq não tem nenhum tipo de informação de fácil acesso relacionado a isso. Simplesmente péssimo. Estou desinstalando.",1
"O site é super fácil de usar. Há uma enorme variedade de tudo: bolsa, bijus, coisas pra casa... Enfim, vale a pena pedir. A entrega é uma das mais rápidas em se tratando da China",5
"Show, muito bom com ótimos preços e bons produtos.",4
"Fiz uma posição sobre um anúncio de uma loja na plataforma do mercado livre, o mercado livre veio a escluir minha posição. Isso por parte do mercado livre explica a baixa qualidade muito e muitos produtos vendido na plataforma. É convivente com a malandragem de muito vendedores. Simples assim.",1
"Quando a pessoa tem um cupom ou ganhou uma oferta grátis tem que comprar antes pra depois ganhar os itens, poxa 🙁 poderiam Muda isso! E tbm tem a questão da demora nós joguinhos pra pessoa ganhar os itens, chega a ser bem chato! Fazam uma nova atualização, por favor! O app é bom, mas infelizmente tem esses defeitos que poderiam ser melhorados!",1
