content,score
"Parabéns ao MercadoLivre , me enviaram o produto bem embalado e no prazo,o top que a gente tem muitas opções de produtos formas de pagamento facilitados é a forma de rastreamento é muito preciso , dá até uma ansiedade kkkkkk e estou comprando mais mercadorias MercadoLivre é sinônimo de responsabilidade e respeito a nós consumidores , mais uma vez, parabéns a todos !!!",5
"Olá! Como outros usuários já vieram a informar eu baixei o app em meu aparelho, uma vez que já o havia excluído, e estou tentando logar, porém no momento em que informo meu e-mail já cadastrado aparece uma mensagem de erro de conexão com a internet, sendo que a internet está em perfeitas condições! Acessei a opção de ajuda no site, porém não há nenhuma opção em que eu tenha possibilidades de informar o erro! Favor verificarem o mais rápido possível, pois necessito realizar uma compra, grato pela compreensão!",2
"A loja em si não é ruim mas o atendimento ao cliente é péssimo. Os atendentes não resolvem seus problemas, fui atendida pelo atendente Nickson que me deixou falando sozinha, acho que tem muita falta de preparo na equipe também. Fiz 2 compras e só tive dores de cabeças que não tive com concorrentes. Nem sempre vale a pena os valores ofertados. Tive um reembolso creditado em vale presente que não poderia transferir pra conta, isso não é reembolso uma vez que te obrigam a comprar mais produto.",2
"Eu não sei o que aconteceu, instalei e desinstalei o app, e ele continua não abrindo, parou de funcionar e não consigo fazer compras, efetuei uma compra e não consigo acompanhar o pedido porque o app simplesmente não abre, a tela fica branca e o celular trava. Teria como me ajudar a resolver esse problema? Obs: fiz uma compra e agora o app parou d funcionar e não consigo fazer o rastreamento do pedido.",1
"Péssimo app. Já foi melhor! Depois que atualizaram os termos e condições, o cliente tem que ter muito cuidado ao comprar em certas lojas. Principalmente se não tem a garantia do ""programa compra garantida "". Eles não devolvem o dinheiro, mesmo alegando que sofreu fraude. Tenho dúvidas que o serviço melhore, daqui por diante.",1
"Utilizo um programa de cashback e não consigo ser redirecionado para o app nunca, sempre abre o site no navegador! Já tentei resolver esse problema pelas configurações do aplicativo mas não funciona! Espero que vocês possam me ajudar a resolver isso.",2
Já fiz umas 4 ou 5 compras sempre compro em média 3/ 4 produtos...só não gosto do joguinho da Familand que a gente perde tempo jogando e nunca consegue o brinde.Além do mais o frete é grátis no entanto as duas taxas de alfândega e ICMS muitas das vezes fica mais caro do que uma das peças do carrinho.,2
"Sugestão, que fosse possível criar pastas nos favoritos, facilitaria muito, até porque, não estou encontrando todos os filtros com facilidade.",4
"O aplicativo era muito bom, mas com o tempo o aplicativo da shein foi adicionando muitas taxas com algumas de valor exorbitantes que fazem a gente perder o interesse de comprar alguns produtos, e outro problema é que o aplicativo não taxa a entrega de algo apartir de 100 reais , ou seja se a gente quer comprar uma capinha ,uma película, o produto e taxado e a entrega quase sempre fica muito mais caro que o produto , e entoa a gente desiste de fazer a compra e foi só isso , mas o APP é bom",3
"O app é ótimo, porém... De primeira parece bacana, mas vc ver que não é barato (para nós BR) e boa parte das peças são da mais baixa qualidade. Por aqui temos opção para comprar peças até com selo sustentável, bem diferente do que a Shein vem praticando. Por tanto não vejo boas vantagens a longo prazo para o bolso e nem para o meio ambiente.",2
